gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
Male,1,No,Yes,58,Yes,Yes,No,Yes,No internet service,No,Yes,No,No internet service,Month-to-month,Yes,Bank transfer (automatic),52.53,3046.7400000000002,Yes
Male,0,No,No,57,Yes,No,DSL,No,No internet service,Yes,No,No internet service,No,Month-to-month,Yes,Mailed check,51.99,2963.4300000000003,No
Female,0,Yes,No,4,Yes,Yes,No,No internet service,Yes,No,Yes,No,No internet service,One year,Yes,Mailed check,108.0,432.0,Yes
Male,0,No,No,7,Yes,Yes,Fiber optic,No,No internet service,No internet service,No,Yes,No internet service,One year,Yes,Credit card (automatic),22.98,160.86,No
Male,0,No,No,61,Yes,No,No,Yes,No,No,Yes,Yes,Yes,One year,No,Mailed check,53.02,3234.2200000000003,No
Female,0,No,Yes,54,Yes,No,No,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,29.87,1612.98,No
Male,0,No,Yes,68,Yes,No phone service,DSL,No internet service,No internet service,Yes,Yes,No,Yes,One year,Yes,Mailed check,20.9,1421.1999999999998,Yes
Male,0,No,No,1,Yes,Yes,Fiber optic,No internet service,Yes,No,No internet service,No internet service,No,One year,Yes,Electronic check,29.29,29.29,Yes
Male,0,Yes,Yes,55,No,No phone service,No,No internet service,No,No internet service,Yes,No,Yes,Month-to-month,No,Mailed check,61.12,3361.6,No
Male,0,Yes,Yes,3,Yes,No phone service,DSL,No internet service,Yes,No,Yes,No,No internet service,Two year,Yes,Electronic check,86.7,260.1,No
Male,0,No,Yes,38,Yes,No,No,No internet service,No internet service,No,No internet service,No,No,Month-to-month,No,Bank transfer (automatic),46.93,1783.34,Yes
Female,0,No,Yes,1,Yes,No phone service,Fiber optic,No internet service,No,No,No internet service,Yes,No,One year,Yes,Bank transfer (automatic),102.97,102.97,No
Female,0,No,Yes,38,Yes,Yes,No,Yes,No,No internet service,No,No internet service,No,Month-to-month,Yes,Bank transfer (automatic),61.76,2346.88,Yes
Female,0,Yes,No,29,Yes,No,No,Yes,No internet service,Yes,No,Yes,No,Two year,No,Bank transfer (automatic),114.82,3329.7799999999997,Yes
Male,0,Yes,Yes,5,Yes,Yes,DSL,Yes,No internet service,No internet service,No,No internet service,No internet service,Two year,No,Bank transfer (automatic),113.42,567.1,No
Male,0,No,Yes,21,Yes,Yes,No,No,No internet service,Yes,Yes,Yes,No internet service,Two year,Yes,Mailed check,95.33,2001.93,No
Male,0,Yes,No,71,Yes,No,DSL,No,Yes,Yes,No,No,Yes,Two year,No,Mailed check,111.24,7898.04,No
Female,0,Yes,Yes,67,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,Two year,No,Mailed check,88.71,5943.57,No
Male,0,No,Yes,47,Yes,No,No,No,Yes,No internet service,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),107.56,2018.4899999999998,No
Male,0,Yes,Yes,35,Yes,Yes,Fiber optic,No,No internet service,No,No,No internet service,No internet service,One year,Yes,Bank transfer (automatic),41.65,1457.75,No
Female,0,Yes,No,68,Yes,No,Fiber optic,No internet service,No internet service,No,No,No internet service,No,One year,Yes,Electronic check,52.54,3572.72,No
Male,1,No,No,69,Yes,No phone service,No,No internet service,Yes,No,Yes,Yes,No internet service,Month-to-month,No,Credit card (automatic),93.29,6437.01,No
Female,0,Yes,Yes,1,Yes,Yes,DSL,No,No,No,No internet service,No internet service,Yes,One year,Yes,Mailed check,60.46,60.46,No
Female,0,Yes,No,68,Yes,No,Fiber optic,No,Yes,No,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),101.73,6917.64,No
Female,0,No,Yes,12,Yes,Yes,Fiber optic,Yes,No,No internet service,Yes,No internet service,No,One year,No,Bank transfer (automatic),105.76,1269.1200000000001,Yes
Male,0,Yes,No,60,Yes,Yes,No,No,No internet service,No internet service,No,No internet service,No,Month-to-month,No,Bank transfer (automatic),47.97,2878.2,No
Male,0,Yes,No,27,Yes,Yes,No,No internet service,No internet service,No internet service,Yes,No internet service,Yes,Two year,Yes,Bank transfer (automatic),100.35,2709.45,No
Male,0,No,No,56,Yes,No,No,No,Yes,No internet service,Yes,Yes,No,One year,No,Credit card (automatic),33.43,2018.4899999999998,Yes
Male,0,No,Yes,23,Yes,No phone service,No,Yes,Yes,No internet service,No,No internet service,No internet service,One year,No,Electronic check,51.42,1182.66,No
Male,0,No,No,25,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No,No internet service,Month-to-month,No,Bank transfer (automatic),69.8,1745.0,No
Male,0,Yes,No,21,Yes,No phone service,No,No internet service,Yes,No internet service,Yes,Yes,No internet service,Two year,Yes,Electronic check,40.64,853.44,No
Male,1,No,Yes,61,Yes,No,DSL,No internet service,No internet service,No,No internet service,Yes,No internet service,Month-to-month,Yes,Electronic check,75.93,4631.7300000000005,Yes
Female,0,Yes,No,63,Yes,No phone service,Fiber optic,No internet service,No internet service,Yes,No internet service,Yes,Yes,Two year,Yes,Mailed check,75.87,2018.4899999999998,No
Male,1,No,Yes,52,Yes,No,DSL,No,No,No internet service,No,No internet service,No internet service,Two year,No,Credit card (automatic),38.69,2011.8799999999999,Yes
Female,0,Yes,No,25,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Bank transfer (automatic),97.56,2439.0,Yes
Male,0,No,Yes,55,Yes,Yes,No,No,No internet service,No internet service,Yes,No internet service,No internet service,Month-to-month,Yes,Electronic check,81.16,4463.8,No
Male,1,No,No,46,Yes,No phone service,Fiber optic,No,Yes,No internet service,No internet service,Yes,Yes,Month-to-month,No,Credit card (automatic),49.78,2289.88,No
Male,0,No,Yes,32,No,No,DSL,No internet service,No,No,No internet service,Yes,No internet service,Month-to-month,No,Credit card (automatic),41.22,1319.04,No
Female,0,No,Yes,55,Yes,Yes,No,Yes,No,Yes,No,Yes,No internet service,Two year,Yes,Bank transfer (automatic),105.88,5823.4,No
Female,0,Yes,Yes,5,Yes,No,No,No internet service,Yes,No,No internet service,Yes,Yes,Month-to-month,No,Mailed check,101.57,507.84999999999997,No
Female,0,No,Yes,36,No,No,Fiber optic,No,Yes,No,No,No internet service,No,Two year,Yes,Mailed check,40.98,1475.28,No
Female,0,No,Yes,49,Yes,Yes,DSL,No,No internet service,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,21.56,1056.4399999999998,No
Male,0,Yes,Yes,58,Yes,No,DSL,No internet service,No,No,No,No,No,Month-to-month,Yes,Mailed check,98.45,5710.1,Yes
Female,0,No,Yes,39,Yes,Yes,DSL,No,No,No internet service,No internet service,Yes,Yes,One year,No,Mailed check,79.55,3102.45,No
Male,0,Yes,Yes,61,Yes,Yes,No,No,No,No internet service,Yes,No,No,Month-to-month,No,Mailed check,28.09,1713.49,No
Male,0,No,Yes,9,Yes,Yes,Fiber optic,No internet service,Yes,No internet service,No,Yes,No,One year,Yes,Credit card (automatic),76.74,690.66,No
Female,0,No,No,6,Yes,No,Fiber optic,No,No internet service,No internet service,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),63.22,379.32,No
Female,0,No,Yes,35,Yes,Yes,DSL,Yes,Yes,No internet service,No,No,No,Two year,Yes,Credit card (automatic),95.46,3341.1,Yes
Female,0,Yes,No,39,Yes,No,No,No internet service,Yes,No,No internet service,Yes,No,Month-to-month,Yes,Credit card (automatic),38.91,1517.4899999999998,No
Female,0,No,No,22,No,Yes,DSL,Yes,Yes,No,No internet service,No,No,Month-to-month,No,Bank transfer (automatic),63.32,1393.04,No
Female,0,No,Yes,41,Yes,Yes,Fiber optic,No,No internet service,No internet service,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),33.62,1378.4199999999998,No
Female,1,No,Yes,5,Yes,No phone service,No,No,Yes,No internet service,Yes,No,Yes,One year,Yes,Electronic check,113.75,568.75,No
Female,0,Yes,No,42,Yes,No phone service,DSL,No internet service,No,No,Yes,Yes,No,Month-to-month,No,Electronic check,95.87,4026.54,No
Female,0,Yes,Yes,67,Yes,No phone service,DSL,No,No,Yes,No,No,No,Two year,Yes,Credit card (automatic),91.67,6141.89,No
Male,0,No,Yes,30,Yes,No,No,No internet service,No,No,No internet service,Yes,Yes,Two year,Yes,Mailed check,87.02,2610.6,Yes
Female,0,Yes,Yes,57,No,No,Fiber optic,No internet service,No internet service,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),60.33,3438.81,Yes
Female,0,No,No,29,Yes,Yes,No,No internet service,Yes,No,Yes,Yes,Yes,One year,Yes,Mailed check,110.33,3199.57,No
Male,0,No,Yes,37,Yes,Yes,DSL,No internet service,No internet service,No,Yes,No,No,Two year,Yes,Credit card (automatic),25.29,935.73,No
Female,0,No,Yes,13,Yes,Yes,DSL,No internet service,Yes,No,No,No internet service,Yes,Two year,No,Electronic check,98.33,1278.29,No
Male,0,No,No,32,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,No internet service,One year,No,Mailed check,39.52,1264.64,No
Male,0,No,No,46,No,No,DSL,No internet service,Yes,No internet service,Yes,Yes,No internet service,Two year,No,Electronic check,50.4,2318.4,No
Female,1,No,Yes,23,Yes,Yes,Fiber optic,Yes,Yes,No internet service,No,No,Yes,One year,No,Credit card (automatic),69.94,1608.62,No
Male,0,No,Yes,45,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No internet service,Two year,Yes,Bank transfer (automatic),96.27,4332.15,No
Male,0,Yes,No,17,Yes,No phone service,DSL,No internet service,No internet service,No internet service,Yes,Yes,No,One year,No,Mailed check,101.85,1731.4499999999998,No
Male,1,Yes,Yes,66,Yes,Yes,Fiber optic,No,Yes,No internet service,Yes,Yes,Yes,Two year,No,Mailed check,76.37,5040.42,No
Male,0,Yes,Yes,6,Yes,Yes,Fiber optic,No internet service,Yes,No internet service,No,Yes,Yes,Month-to-month,No,Credit card (automatic),58.3,349.79999999999995,No
Female,0,Yes,Yes,18,Yes,Yes,Fiber optic,Yes,Yes,Yes,No internet service,No internet service,No,Two year,No,Credit card (automatic),112.65,2027.7,Yes
Male,1,Yes,No,22,Yes,No,DSL,Yes,No internet service,Yes,No,No internet service,No,Two year,No,Mailed check,42.65,938.3,No
Female,0,Yes,Yes,33,Yes,No phone service,No,Yes,No internet service,No internet service,No internet service,Yes,Yes,Month-to-month,No,Bank transfer (automatic),98.31,3244.23,No
Male,0,Yes,No,30,Yes,Yes,No,No,No internet service,No internet service,Yes,Yes,No,Month-to-month,No,Credit card (automatic),79.2,2376.0,Yes
Male,0,No,No,32,Yes,Yes,No,No internet service,Yes,No internet service,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),55.69,1782.08,No
Male,0,No,Yes,42,Yes,No phone service,DSL,No,No,No,No internet service,No internet service,No,Month-to-month,Yes,Credit card (automatic),18.14,761.88,Yes
Male,0,No,Yes,10,Yes,Yes,Fiber optic,Yes,No,No,No,No internet service,Yes,One year,No,Bank transfer (automatic),62.66,626.5999999999999,No
Female,0,No,Yes,36,Yes,No,Fiber optic,No,No,No,Yes,No,No,One year,Yes,Mailed check,45.67,1644.1200000000001,No
Female,1,Yes,Yes,34,Yes,Yes,DSL,Yes,Yes,Yes,No internet service,No,No,Two year,No,Electronic check,28.43,966.62,No
Male,0,Yes,Yes,28,Yes,No,DSL,Yes,No,No internet service,No,Yes,No internet service,Two year,No,Credit card (automatic),25.52,714.56,No
Male,0,No,No,11,Yes,No,No,Yes,No,Yes,No internet service,Yes,No internet service,Two year,No,Bank transfer (automatic),52.76,580.36,Yes
Female,0,No,Yes,39,Yes,Yes,No,No internet service,No,Yes,No,No internet service,No internet service,One year,Yes,Mailed check,79.48,3099.7200000000003,No
Male,0,Yes,No,47,Yes,No phone service,DSL,No internet service,Yes,Yes,No,Yes,No,Two year,Yes,Mailed check,101.75,4782.25,Yes
Male,0,No,Yes,19,Yes,No,No,Yes,No,No internet service,No,Yes,Yes,Two year,No,Bank transfer (automatic),36.36,690.84,No
Male,0,No,Yes,15,Yes,No phone service,Fiber optic,No,No,No,No,No internet service,No,One year,Yes,Credit card (automatic),60.46,906.9,No
Female,0,No,Yes,28,Yes,Yes,DSL,No,Yes,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,57.2,1601.6000000000001,No
Female,0,No,Yes,24,No,No,DSL,No internet service,No internet service,No internet service,No internet service,No internet service,No,One year,Yes,Credit card (automatic),69.34,1664.16,No
Female,1,Yes,No,9,Yes,Yes,Fiber optic,Yes,No,Yes,No internet service,No internet service,No internet service,One year,Yes,Mailed check,98.96,890.64,Yes
Male,0,No,Yes,47,Yes,No phone service,Fiber optic,No,No internet service,Yes,No internet service,No,No internet service,Month-to-month,Yes,Electronic check,73.36,3447.92,No
Male,0,No,Yes,33,Yes,Yes,Fiber optic,Yes,No,Yes,No internet service,No internet service,Yes,Month-to-month,No,Credit card (automatic),102.67,3388.11,No
Female,0,Yes,Yes,62,Yes,Yes,No,No,Yes,No,No,No internet service,Yes,One year,Yes,Electronic check,69.86,4331.32,No
Female,0,Yes,Yes,19,Yes,No,DSL,No internet service,No internet service,No,Yes,Yes,No internet service,One year,Yes,Bank transfer (automatic),78.38,1489.2199999999998,Yes
Female,0,No,Yes,67,Yes,Yes,No,Yes,No internet service,No,Yes,Yes,No internet service,Month-to-month,No,Credit card (automatic),61.74,4136.58,Yes
Female,0,Yes,Yes,40,No,Yes,Fiber optic,Yes,No internet service,No internet service,No internet service,Yes,No,Two year,Yes,Mailed check,100.31,4012.4,No
Male,0,No,No,47,Yes,Yes,No,No,No internet service,Yes,No internet service,No,No internet service,Two year,No,Mailed check,110.38,5187.86,No
Female,0,No,Yes,65,Yes,No,Fiber optic,No,No,No internet service,Yes,No internet service,No,Two year,No,Electronic check,81.91,5324.15,No
Male,0,Yes,No,29,Yes,No phone service,No,No,No,No,No,No internet service,No internet service,One year,Yes,Bank transfer (automatic),100.08,2902.32,No
Female,0,No,Yes,50,Yes,No phone service,No,Yes,No internet service,Yes,No internet service,No,Yes,Month-to-month,No,Credit card (automatic),23.9,1195.0,Yes
Male,0,No,Yes,13,Yes,Yes,Fiber optic,No internet service,No,No,No,No internet service,Yes,Two year,Yes,Bank transfer (automatic),108.61,1411.93,No
Female,0,No,Yes,1,Yes,No,No,No internet service,No internet service,Yes,Yes,Yes,No internet service,Month-to-month,Yes,Bank transfer (automatic),36.89,36.89,No
Female,0,No,Yes,34,Yes,Yes,DSL,No,No internet service,Yes,Yes,No,No,Month-to-month,No,Electronic check,43.65,1484.1,No
Female,0,Yes,Yes,48,Yes,No phone service,No,No internet service,Yes,No internet service,No internet service,No internet service,No,One year,Yes,Electronic check,23.33,1119.84,No
Female,0,Yes,Yes,48,Yes,No,No,No,No internet service,No internet service,No,No,No,Two year,Yes,Credit card (automatic),114.54,5497.92,Yes
Male,0,No,Yes,49,Yes,No phone service,DSL,No internet service,No,No,No internet service,No,No internet service,Month-to-month,No,Mailed check,103.2,5056.8,No
Female,0,Yes,Yes,64,Yes,No phone service,Fiber optic,Yes,No internet service,No internet service,Yes,No internet service,No internet service,One year,No,Credit card (automatic),109.32,6996.48,No
Male,1,No,Yes,61,Yes,No,DSL,No,Yes,No internet service,No,Yes,Yes,One year,Yes,Bank transfer (automatic),102.72,6265.92,Yes
Male,0,No,No,29,Yes,No,No,No internet service,No,No internet service,No internet service,No internet service,Yes,One year,No,Electronic check,65.95,1912.5500000000002,No
Male,0,No,Yes,39,Yes,Yes,Fiber optic,Yes,Yes,Yes,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),110.41,4305.99,No
Male,0,No,Yes,26,Yes,Yes,No,No internet service,Yes,No internet service,No internet service,Yes,Yes,Two year,No,Electronic check,114.95,2988.7000000000003,No
Female,1,No,Yes,17,Yes,No phone service,No,Yes,No internet service,No,Yes,No internet service,No,One year,No,Mailed check,68.26,1160.42,No
Male,0,Yes,Yes,71,Yes,No,DSL,Yes,Yes,Yes,No internet service,No internet service,No,Two year,Yes,Bank transfer (automatic),35.56,2524.76,No
Male,0,No,Yes,13,Yes,No,DSL,No internet service,Yes,Yes,No,No internet service,No internet service,Two year,Yes,Electronic check,83.86,1090.18,No
Male,0,Yes,Yes,69,Yes,Yes,Fiber optic,No internet service,No,No internet service,No internet service,No,No,Month-to-month,No,Credit card (automatic),115.54,7972.26,No
Female,0,Yes,Yes,26,Yes,No phone service,Fiber optic,Yes,Yes,Yes,Yes,No,No internet service,One year,Yes,Credit card (automatic),105.21,2735.46,No
Female,0,No,Yes,49,No,No phone service,Fiber optic,Yes,No internet service,No,No internet service,No,No,One year,No,Credit card (automatic),104.18,5104.820000000001,No
Female,1,No,Yes,67,Yes,Yes,No,Yes,No internet service,No,Yes,No internet service,No internet service,Two year,No,Bank transfer (automatic),111.38,7462.46,No
Female,1,No,Yes,7,Yes,No,DSL,No,No internet service,Yes,Yes,Yes,No,One year,Yes,Electronic check,107.4,751.8000000000001,No
Male,0,No,Yes,58,Yes,Yes,DSL,Yes,Yes,No internet service,No,No,No,One year,Yes,Electronic check,95.63,5546.54,Yes
Male,0,No,Yes,49,Yes,Yes,DSL,No,No,No internet service,No,Yes,Yes,One year,Yes,Electronic check,89.83,4401.67,No
Female,1,Yes,Yes,53,Yes,Yes,Fiber optic,Yes,No internet service,Yes,No internet service,No internet service,Yes,Two year,Yes,Bank transfer (automatic),44.48,2357.44,No
Male,0,No,No,65,Yes,Yes,DSL,No,Yes,No,Yes,No,Yes,Two year,No,Electronic check,80.13,5208.45,Yes
Male,0,No,Yes,62,Yes,No,DSL,Yes,No internet service,Yes,Yes,No internet service,Yes,Two year,No,Mailed check,70.15,4349.3,No
Male,0,Yes,Yes,17,Yes,Yes,DSL,Yes,No internet service,No internet service,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),104.19,1771.23,No
Female,0,Yes,Yes,43,Yes,No,Fiber optic,Yes,No,No internet service,No,No,Yes,One year,No,Mailed check,67.17,2888.31,No
Female,0,No,No,25,Yes,Yes,DSL,No internet service,No internet service,Yes,No internet service,No,No internet service,Month-to-month,Yes,Mailed check,30.77,769.25,No
Male,0,Yes,Yes,3,Yes,No phone service,Fiber optic,No internet service,No,No,Yes,No,No internet service,Two year,Yes,Credit card (automatic),18.5,55.5,No
Female,1,No,Yes,29,Yes,No,DSL,Yes,Yes,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),85.79,2487.9100000000003,Yes
Female,1,Yes,Yes,32,Yes,No phone service,DSL,No,No internet service,No,No internet service,Yes,No internet service,One year,No,Electronic check,72.99,2335.68,Yes
Female,0,Yes,Yes,26,Yes,Yes,DSL,No,Yes,No,Yes,No,Yes,One year,No,Mailed check,51.1,1328.6000000000001,No
Female,0,No,Yes,16,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),34.9,558.4,No
Female,1,Yes,Yes,25,Yes,Yes,Fiber optic,No internet service,Yes,Yes,No,No,No,Two year,Yes,Electronic check,64.67,1616.75,No
Male,0,Yes,No,54,Yes,No,DSL,No,No internet service,No,No internet service,Yes,No internet service,Month-to-month,Yes,Credit card (automatic),28.03,1513.6200000000001,Yes
Female,0,Yes,Yes,28,No,No phone service,No,No internet service,No,No,No,No,No internet service,Two year,Yes,Bank transfer (automatic),51.61,1445.08,No
Male,1,Yes,No,56,Yes,No,Fiber optic,No,No internet service,No,No internet service,Yes,No internet service,Month-to-month,No,Bank transfer (automatic),55.92,3131.52,No
Male,1,Yes,No,65,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,No,One year,No,Bank transfer (automatic),64.56,4196.400000000001,No
Female,0,Yes,Yes,41,Yes,Yes,DSL,No internet service,No,No internet service,No internet service,No internet service,Yes,One year,Yes,Electronic check,64.66,2651.06,No
Male,0,No,Yes,51,Yes,No phone service,No,No,Yes,Yes,No internet service,No,No internet service,One year,Yes,Mailed check,43.7,2228.7000000000003,No
Male,0,No,Yes,71,No,Yes,DSL,Yes,No,No,No internet service,No,No internet service,One year,No,Mailed check,103.02,7314.42,No
Male,0,Yes,Yes,29,Yes,No,Fiber optic,Yes,No internet service,Yes,No internet service,No,No,One year,Yes,Bank transfer (automatic),53.55,1552.9499999999998,Yes
Female,0,No,Yes,19,Yes,Yes,Fiber optic,Yes,No,No,No internet service,No internet service,Yes,Month-to-month,No,Bank transfer (automatic),40.96,778.24,No
Female,0,No,No,66,Yes,No phone service,DSL,No internet service,No internet service,Yes,No,No internet service,No internet service,One year,No,Electronic check,35.58,2348.2799999999997,No
Male,0,No,No,41,Yes,Yes,DSL,No internet service,Yes,Yes,No internet service,Yes,No,Month-to-month,Yes,Credit card (automatic),50.26,2060.66,No
Female,0,Yes,Yes,45,Yes,No phone service,No,Yes,No,No,No internet service,Yes,Yes,One year,No,Bank transfer (automatic),24.76,1114.2,No
Female,0,No,Yes,15,Yes,No phone service,No,No internet service,Yes,No,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),21.29,319.34999999999997,No
Female,0,Yes,No,3,No,Yes,Fiber optic,No,No,Yes,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),78.51,235.53000000000003,No
Female,1,No,No,11,Yes,No,No,Yes,No internet service,Yes,Yes,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),79.91,879.01,No
Male,0,Yes,No,53,Yes,Yes,No,Yes,No,Yes,No,No internet service,No internet service,Two year,Yes,Mailed check,70.96,3760.8799999999997,No
Male,0,Yes,Yes,46,Yes,No,Fiber optic,No internet service,No,No internet service,No,Yes,No internet service,Month-to-month,No,Bank transfer (automatic),94.23,4334.58,No
Female,0,No,Yes,30,Yes,No,Fiber optic,Yes,No internet service,No,No internet service,No internet service,No,Month-to-month,No,Mailed check,21.92,657.6,Yes
Female,0,No,Yes,57,No,Yes,Fiber optic,No,No internet service,No internet service,No,Yes,No,One year,No,Electronic check,111.6,6361.2,No
Male,0,Yes,Yes,18,No,No,Fiber optic,No internet service,No internet service,No internet service,No internet service,Yes,No internet service,Month-to-month,Yes,Electronic check,27.51,495.18,No
Male,0,No,Yes,51,Yes,No,DSL,No internet service,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,85.4,4355.400000000001,No
Female,0,No,Yes,48,Yes,Yes,Fiber optic,Yes,Yes,No,No internet service,No,No internet service,Two year,Yes,Mailed check,31.34,1504.32,No
Male,0,No,Yes,66,Yes,Yes,Fiber optic,Yes,No,No internet service,No internet service,No,Yes,One year,No,Credit card (automatic),105.99,6995.339999999999,No
Female,0,Yes,Yes,8,No,Yes,Fiber optic,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Mailed check,69.07,552.56,No
Female,0,Yes,Yes,22,Yes,No,No,No internet service,Yes,Yes,Yes,No,Yes,Two year,Yes,Mailed check,26.23,577.0600000000001,No
Male,1,No,Yes,6,Yes,No phone service,Fiber optic,Yes,No internet service,Yes,Yes,No,No,Two year,Yes,Bank transfer (automatic),79.67,478.02,No
Male,0,No,Yes,57,No,No,DSL,No,No,No internet service,Yes,No,Yes,Month-to-month,No,Credit card (automatic),18.91,1077.8700000000001,No
Female,0,No,Yes,36,No,No phone service,DSL,Yes,Yes,No internet service,No internet service,No internet service,Yes,Two year,Yes,Mailed check,95.6,3441.6,No
Female,0,Yes,Yes,57,Yes,Yes,Fiber optic,Yes,No internet service,No,No,Yes,No,Two year,Yes,Mailed check,83.06,4734.42,No
Male,0,Yes,No,49,Yes,No phone service,DSL,No internet service,No internet service,No,No internet service,No,Yes,One year,Yes,Mailed check,39.26,2018.4899999999998,Yes
Female,0,No,Yes,45,No,Yes,No,Yes,No,No internet service,Yes,No internet service,Yes,One year,No,Bank transfer (automatic),55.48,2496.6,No
Male,0,No,Yes,66,Yes,Yes,Fiber optic,No internet service,No internet service,No internet service,Yes,No internet service,No internet service,One year,No,Bank transfer (automatic),18.78,1239.48,Yes
Female,1,No,Yes,45,No,No phone service,DSL,Yes,No internet service,Yes,No,No internet service,Yes,One year,Yes,Bank transfer (automatic),87.37,3931.65,Yes
Male,0,No,No,20,Yes,Yes,DSL,No,Yes,Yes,Yes,No,Yes,Two year,Yes,Electronic check,50.27,1005.4000000000001,Yes
Male,0,No,Yes,64,Yes,No phone service,Fiber optic,No,Yes,No,No internet service,No internet service,Yes,One year,Yes,Bank transfer (automatic),75.16,4810.24,No
Male,0,No,Yes,67,Yes,Yes,DSL,No internet service,No internet service,Yes,No internet service,Yes,Yes,Month-to-month,No,Mailed check,113.67,7615.89,Yes
Female,1,Yes,Yes,3,Yes,No,Fiber optic,No internet service,Yes,No,No internet service,No internet service,Yes,Two year,No,Bank transfer (automatic),47.95,143.85000000000002,No
Female,0,No,Yes,54,Yes,No,DSL,Yes,No internet service,No,No internet service,No internet service,No,One year,Yes,Bank transfer (automatic),117.02,6319.08,No
Male,0,Yes,Yes,64,Yes,Yes,No,Yes,No,No,No internet service,No internet service,Yes,Two year,No,Credit card (automatic),81.27,5201.28,No
Female,0,No,Yes,40,Yes,Yes,DSL,No,Yes,Yes,No,No internet service,Yes,One year,Yes,Mailed check,42.21,1688.4,No
Male,0,No,No,59,Yes,No phone service,DSL,Yes,No internet service,No internet service,No internet service,Yes,No,Two year,No,Bank transfer (automatic),61.68,3639.12,No
Male,0,Yes,Yes,55,Yes,No,Fiber optic,No,No internet service,No internet service,Yes,No,No,One year,Yes,Electronic check,92.05,5062.75,No
Female,1,Yes,No,62,Yes,No phone service,DSL,No internet service,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),62.65,3884.2999999999997,No
Female,0,Yes,No,4,Yes,Yes,Fiber optic,Yes,Yes,No internet service,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),24.85,99.4,No
Male,0,Yes,Yes,60,Yes,Yes,No,No internet service,No,No,Yes,No,Yes,Two year,No,Credit card (automatic),34.86,2091.6,No
Female,0,No,No,30,Yes,No phone service,Fiber optic,Yes,No internet service,No internet service,No,No internet service,No internet service,Two year,Yes,Credit card (automatic),97.13,2913.8999999999996,No
Female,0,Yes,Yes,2,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No internet service,Month-to-month,Yes,Electronic check,82.84,165.68,Yes
Male,0,No,Yes,62,Yes,No,DSL,No internet service,No,No internet service,No,No,Yes,Two year,Yes,Electronic check,74.98,2018.4899999999998,No
Male,0,Yes,Yes,49,Yes,No phone service,No,No internet service,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,34.76,2018.4899999999998,No
Female,0,No,Yes,9,No,No,Fiber optic,Yes,Yes,No,No,No,Yes,Two year,No,Mailed check,101.78,916.02,Yes
Male,0,No,Yes,31,Yes,No,DSL,No internet service,No,Yes,No,No internet service,No,Two year,Yes,Credit card (automatic),114.07,3536.1699999999996,No
Male,0,No,Yes,61,Yes,No,DSL,No,Yes,Yes,No,Yes,No,Month-to-month,No,Bank transfer (automatic),22.09,1347.49,No
Female,0,No,Yes,48,No,No phone service,Fiber optic,No internet service,Yes,Yes,Yes,No internet service,No,Two year,No,Electronic check,25.8,1238.4,Yes
Male,0,No,Yes,25,Yes,Yes,DSL,No internet service,No,No,No,Yes,Yes,Two year,Yes,Electronic check,106.47,2661.75,Yes
Male,0,No,Yes,36,Yes,No,Fiber optic,Yes,No,No internet service,No internet service,No internet service,Yes,Month-to-month,Yes,Credit card (automatic),99.56,3584.16,No
Female,0,Yes,Yes,8,Yes,No,Fiber optic,No internet service,No internet service,No internet service,No internet service,No,No,One year,Yes,Credit card (automatic),79.79,638.32,No
